CaseID,Architecture,MaRamMin,PerformanceScenario,TransitionEndMach,Rocket2Mach,TOGW_t,TotalPropellant_t,MaTakeoffOpt,MaRamStartOpt,HRamStart_km,AlphaOpt,Vsep_mps,Hsep_km,Rocket1Propellant_t,RamjetFuel_t,DMRBlendFuel_t,ScramjetFuel_t,Rocket2FirstStagePropellant_t,SecondStagePropellant_t,DeltaVg1st_mps,DeltaVg2nd_mps,MinDeltaH_km,MinDeltaVeff_mps,MinSegmentMu,MinSegmentFuel_t,PhysicalPass,GAExitFlag,Generations,FuncCount,Seed,LocalPolishUsed,Status
28,RAMJET_ONLY,2.5,HIGH,NaN,6,468.150629736155,285.674795526147,1.15357688951483,2.5,15,0.158886325510443,2733.08937425484,50.6215708715897,77.5112169247148,30.4230994466832,0,0,99.0809992606946,78.6594798940548,444.629660400157,278.776739659092,0.211542687511866,30.9850069978855,1.00182393030002,0.711201878751353,1,1,5,12300,2026082428,1,PASS
29,RAMJET_ONLY,2.5,HIGH,NaN,6.5,409.075016667427,250.146320153969,1.15357689612213,2.5,15,0.146276479272703,2787.90427317191,49.2665224447714,67.730128315999,31.5896805787512,0,0,77.4617592332828,73.3647520259363,434.776169108976,279.846481685241,0.201066842419095,30.9850069978855,1.00182393030002,0.621455792569748,1,1,5,12300,2026082429,1,PASS
30,RAMJET_ONLY,2.5,HIGH,NaN,7,362.422031455634,222.021665123427,1.1535765353235,2.5,15,0.132472109067785,2840.07040764187,47.6653228108017,60.0058553593881,32.8072230190218,0,0,60.3066757454604,68.9019109995564,424.794748384069,281.429995445361,0.187475557322614,30.985006997886,1.00182393030002,0.550581803962189,1,1,5,12300,2026082430,1,PASS
31,DMR,3,LOW,6.5,7,480.075143715914,292.881068608223,1.15357684130185,3,16.0577134375594,0.113716012491921,2733.26831230788,44.3718218789257,95.1799112763241,28.871722906643,9.72896116776451,14.2149435886511,65.0116585108124,79.8738711580276,386.791023843116,290.435358827553,0.187475557322614,30.985006997886,1.00209337449875,0.80404669343568,1,1,5,12300,2026082431,1,PASS
32,DMR,3,LOW,7,7,456.487891968557,278.703197556959,1.15357676923481,3,16.0577134375594,0.11693125743733,2751.57675382143,44.9364069556277,90.5034954663731,27.4531851615607,18.8068063483309,0,64.1477995698203,77.7919110108736,388.773269116653,288.878651947977,0.187475557322614,30.985006997886,1.00209337449875,0.764541929998643,1,1,5,12300,2026082432,1,PASS
33,RAMJET_ONLY,3,LOW,NaN,6,545.931882643098,332.363446973237,1.15357680524296,3,16.0577134375594,0.149799468191699,2678.56576092228,49.0077813052606,108.23669950944,32.8323475583469,0,0,106.038511220489,85.2558886849602,412.379992090347,283.257513363816,0.211542687511866,30.9850069978855,1.00209337449875,0.914345866278268,1,1,5,12300,2026082433,1,PASS
34,RAMJET_ONLY,3,LOW,NaN,6.5,475.70417637204,290.236405493708,1.15357685858892,3,16.0577134375594,0.136655601931185,2731.6467852395,47.5678597470588,94.3133205487741,34.6757210935714,0,0,81.8319519645322,79.4154118868305,402.277426309598,284.514753288922,0.201066842419095,30.9850069978855,1.00209337449875,0.796726045650473,1,1,5,12300,2026082434,1,PASS
35,RAMJET_ONLY,3,LOW,NaN,7,420.839164091397,257.250386203592,1.15357699688118,3,16.0577134375594,0.122253768196718,2781.88451531333,45.87102008662,83.43575326926,36.5019357460084,0,0,62.7720065448711,74.5406906434522,392.021878129266,286.31354390555,0.187475557322614,30.985006997886,1.00209337449875,0.704836209858854,1,1,5,12300,2026082435,1,PASS
36,DMR,3,REFERENCE,6.5,7,468.679142621569,286.032690036694,1.15357680861523,3,16.0577134375594,0.11524146629265,2741.95464326134,44.6396859035063,92.9205365268807,27.0832107783987,9.15747669350071,13.3982836722162,64.5986992067309,78.8744831589667,387.733362641285,289.696113119569,0.187475557322614,30.985006997886,1.00198162839999,0.743141295479973,1,1,5,12300,2026082436,1,PASS
37,DMR,3,REFERENCE,7,7,446.727435556289,272.832790760766,1.15357640261499,3,16.0577134375594,0.118328745441794,2759.53441422679,45.181800661422,88.5683989073265,25.8147026426528,17.7549714690838,0,63.7792828996922,76.9154348420103,389.630192270831,288.203724343144,0.187475557322614,30.985006997886,1.00198162839999,0.708334463046469,1,1,5,12300,2026082437,1,PASS
38,RAMJET_ONLY,3,REFERENCE,NaN,6,538.567240776184,327.947789860279,1.15357609135519,3,16.0577134375594,0.150580602027195,2683.25277621411,49.146507554547,106.776619720655,31.121779281978,0,0,105.397093384622,84.652297473024,412.866947735658,282.870497834872,0.211542687511866,30.9850069978855,1.00198162839999,0.853956333408519,1,1,5,12300,2026082438,1,PASS
39,RAMJET_ONLY,3,REFERENCE,NaN,6.5,468.325840455305,285.80212873635,1.15357721392277,3,16.0577134375594,0.137626404023775,2737.32349070719,47.7392646244942,92.8504722142355,32.8202521856371,0,0,81.3641774054769,78.7672269310001,402.874165274915,284.041432281413,0.201066842419095,30.9850069978855,1.00198162839999,0.742581133338547,1,1,5,12300,2026082439,1,PASS
40,RAMJET_ONLY,3,REFERENCE,NaN,7,413.406050388953,252.77337093268,1.15357672877583,3,16.0577134375594,0.123441230648346,2788.64623555994,46.0795340849984,81.9620717400094,34.4917711587387,0,0,62.4730960515113,73.8464319824205,392.741158154274,285.743270608427,0.187475557322614,30.985006997886,1.00198162839999,0.655499843988025,1,1,5,12300,2026082440,1,PASS
41,DMR,3,HIGH,6.5,7,458.493933206438,279.909576101302,1.15357696655944,3,16.0577134375594,0.116648253852375,2749.96525775465,44.8867125766824,90.9012053055083,25.497163655178,8.64821403291785,12.6692057125738,64.2223266018102,77.9714607933143,388.599383185082,289.015454918456,0.187475557322614,30.985006997886,1.00188119883368,0.690216576378987,1,1,5,12300,2026082441,1,PASS
42,DMR,3,HIGH,7,7,437.976793344935,267.567565223973,1.15357685746346,3,16.0577134375594,0.119619555285053,2766.88462141836,45.4084620781219,86.8334729400661,24.3561910430354,16.8132243259512,0,63.4441128498366,76.1205640650838,390.4191527371,287.581222597972,0.187475557322614,30.985006997886,1.00188119883368,0.659330073835179,1,1,5,12300,2026082442,1,PASS
43,RAMJET_ONLY,3,HIGH,NaN,6,531.902369006057,323.950922522486,1.15357670095238,3,16.0577134375594,0.151300042866524,2687.5696167634,49.2742773741197,105.455207250519,29.5794564154097,0,0,104.813445910305,84.1028129462521,413.314457147215,282.5143549257,0.211542687511866,30.9850069978855,1.00188119883368,0.800725579295943,1,1,5,12300,2026082443,1,PASS
44,RAMJET_ONLY,3,HIGH,NaN,6.5,461.66328608901,281.797008588961,1.15357795231356,3,16.0577134375594,0.138521043826998,2742.55484187685,47.8972222834144,91.5295183023615,31.1513801161052,0,0,80.9383265167642,78.1777836537298,403.422778181217,283.605696871533,0.201066842419095,30.9850069978855,1.00188119883368,0.694987802024229,1,1,5,12300,2026082444,1,PASS
45,RAMJET_ONLY,3,HIGH,NaN,7,406.710166950594,248.738895384482,1.15357684739626,3,16.0577134375594,0.124537954865029,2794.89126868138,46.2721147861612,80.6345381477923,32.6886425430548,0,0,62.20091339462,73.2148012990152,393.40368103479,285.217221743748,0.187475557322614,30.985006997886,1.00188119883368,0.612261307338883,1,1,5,12300,2026082445,1,PASS
